Station_ID,Latitude,Longitude,Address,Charger_Type,Cost_USD_per_kWh,Availability_pct,Distance_to_City_km,Usage_Stats_avg_users_day,Station_Operator,Charging_Capacity_kW,Connector_Types,Installation_Year,Renewable_Energy_Source,Reviews_Rating,Parking_Spots,Maintenance_Frequency
EVST00001,39.646825,-122.1034,"3146 San Francisco St, Station Area",AC Level 2,0.1402,50.6,0.55,27.7,Blink,25,Tesla Proprietary,2024,No,2.3,29,Quarterly
EVST00002,-34.247576,149.527153,"6424 Sydney St, Station Area",AC Level 2,0.1453,59.1,2.07,33.4,EVgo,24,"CHAdeMO, Type 2",2012,Yes,3.9,27,Quarterly
EVST00003,49.401782,4.545733,"6806 Paris St, Station Area",DC Fast,0.2854,90.5,4.78,58.9,EVgo,203,Tesla Proprietary,2022,No,3.3,14,Quarterly
EVST00004,32.061317,140.864092,"9185 Tokyo St, Station Area",AC Level 2,0.2173,76.2,22.88,23.0,Electrify America,21,"CCS, Tesla Proprietary, Type 2",2016,No,3.7,12,Monthly
EVST00005,33.941679,139.793459,"7891 Tokyo St, Station Area",AC Level 2,0.0828,81.3,2.23,46.1,BP Pulse,15,"CCS, J1772",2024,No,4.7,23,Monthly
EVST00006,28.173232,73.554437,"2487 New Delhi St, Station Area",AC Level 2,0.1383,67.9,16.03,22.4,EVgo,10,Tesla Proprietary,2012,No,3.1,19,Quarterly
EVST00007,36.1667,-123.894524,"2067 San Francisco St, Station Area",AC Level 2,0.1499,53.4,9.01,19.7,EVgo,36,Type 2,2014,No,5.0,7,Annual
EVST00008,-32.797205,152.240942,"8864 Sydney St, Station Area",AC Level 2,0.1266,92.8,13.85,26.5,Blink,25,"J1772, Tesla Proprietary, Type 2",2021,No,3.5,25,Bi-Annual
EVST00009,54.503345,1.691526,"4878 London St, Station Area",AC Level 1,0.098,59.6,5.65,10.5,BP Pulse,7,"CHAdeMO, Type 2",2022,Yes,2.9,20,Bi-Annual
EVST00010,36.009978,-120.755645,"976 San Francisco St, Station Area",AC Level 2,0.1744,51.7,2.1,29.1,EVgo,23,"CCS, CHAdeMO, Tesla Proprietary",2013,No,4.2,19,Monthly
EVST00011,47.600405,-0.03582,"8249 Paris St, Station Area",AC Level 2,0.1486,78.6,2.71,22.7,ChargePoint,15,"J1772, Tesla Proprietary",2014,Yes,3.9,23,Bi-Annual
EVST00012,28.967073,77.661328,"6484 New Delhi St, Station Area",DC Fast,0.2865,54.2,6.02,55.6,BP Pulse,110,"CHAdeMO, J1772, Tesla Proprietary",2016,No,4.1,7,Quarterly
EVST00013,-31.452126,152.732573,"256 Sydney St, Station Area",AC Level 1,0.0778,54.8,12.93,8.9,BP Pulse,10,"J1772, Tesla Proprietary",2012,Yes,,24,Monthly
EVST00014,-35.702361,148.721797,"7827 Sydney St, Station Area",AC Level 2,0.1469,90.0,7.57,27.9,EVgo,25,"CHAdeMO, J1772, Tesla Proprietary",2022,No,4.0,4,Quarterly
EVST00015,-33.495246,151.197443,"6073 Sydney St, Station Area",DC Fast,0.2961,74.6,19.64,52.5,Blink,112,"CHAdeMO, J1772, Tesla Proprietary",2020,No,3.1,24,Monthly
EVST00016,-31.136852,151.620064,"6145 Sydney St, Station Area",DC Fast,0.2906,62.1,0.1,60.1,Electrify America,89,"CHAdeMO, Type 2",2021,Yes,3.4,18,Bi-Annual
EVST00017,46.378961,1.901053,"8648 Paris St, Station Area",DC Fast,0.3126,67.4,0.72,17.7,Shell Recharge,124,"J1772, Type 2",2018,Yes,3.7,17,Bi-Annual
EVST00018,35.853296,-125.197643,"4955 San Francisco St, Station Area",AC Level 2,0.1726,86.5,5.3,29.4,EVgo,20,"CCS, J1772, Type 2",2020,Yes,5.0,22,Monthly
EVST00019,27.97849,76.720453,"4612 New Delhi St, Station Area",AC Level 2,0.1131,53.3,2.3,29.9,Blink,32,"CHAdeMO, J1772, Tesla Proprietary",2019,Yes,4.9,10,Quarterly
EVST00020,34.895317,139.159342,"6173 Tokyo St, Station Area",AC Level 2,0.1185,55.8,10.67,24.2,Blink,21,,2021,No,3.4,23,Quarterly
EVST00021,50.075502,2.130091,"1978 Paris St, Station Area",AC Level 1,0.045,80.8,4.32,15.3,Blink,5,Tesla Proprietary,2017,No,3.6,1,Monthly
EVST00022,36.03869,138.805093,"1517 Tokyo St, Station Area",AC Level 2,0.176,80.3,14.84,33.6,ChargePoint,22,CCS,2020,No,3.2,21,Quarterly
EVST00023,48.844957,-0.792318,"8437 London St, Station Area",AC Level 2,0.1575,98.6,11.17,37.1,Electrify America,23,"CCS, Tesla Proprietary",2020,No,4.3,24,Bi-Annual
EVST00024,29.387016,77.149441,"2156 New Delhi St, Station Area",AC Level 2,0.599488549239315,68.7,20.29,169.83546456472274,ChargePoint,16,Type 2,2020,Yes,4.1,1,Bi-Annual
EVST00025,-34.735108,151.872982,"5043 Sydney St, Station Area",AC Level 2,0.1071,53.3,1.01,56.1,EVgo,24,CCS,2023,Yes,3.8,21,Monthly
EVST00026,50.768271,1.89556,"2699 Paris St, Station Area",AC Level 2,0.2035,76.9,3.88,31.6,Shell Recharge,28,"CHAdeMO, J1772",2016,No,4.3,23,Quarterly
EVST00027,34.734819,139.035827,"2305 Tokyo St, Station Area",AC Level 2,0.1317,81.9,1.3,27.9,EVgo,23,Tesla Proprietary,2023,No,3.4,16,Monthly
EVST00028,-34.823723,151.347831,"5977 Sydney St, Station Area",DC Fast,0.3084,57.0,9.58,36.5,Blink,110,"CCS, CHAdeMO, Type 2",2012,No,3.7,18,Monthly
EVST00029,49.668297,-0.529174,"8023 Paris St, Station Area",DC Fast,0.3427,77.6,1.62,62.3,BP Pulse,124,CCS,2018,No,3.4,2,Monthly
EVST00030,36.82059,140.365853,"4419 Tokyo St, Station Area",AC Level 2,0.1204,59.9,5.7,37.9,ChargePoint,14,CHAdeMO,2017,No,4.0,29,Monthly
EVST00031,36.348349,139.649455,"1388 Tokyo St, Station Area",AC Level 2,0.1336,92.2,10.43,10.9,Shell Recharge,21,"CHAdeMO, Tesla Proprietary",2023,No,3.6,29,Quarterly
EVST00032,48.979004,-0.06826,"2445 London St, Station Area",AC Level 2,0.1554,91.8,6.28,18.7,ChargePoint,24,"CHAdeMO, J1772, Tesla Proprietary",2012,No,3.4,23,Quarterly
EVST00033,38.581952,-120.978299,"1646 San Francisco St, Station Area",AC Level 1,0.1371,71.5,8.29,22.1,EVgo,5,Tesla Proprietary,2014,Yes,,1,Quarterly
EVST00034,47.305138,-0.577023,"8827 Paris St, Station Area",DC Fast,0.3151,98.3,0.43,69.0,Tesla,247,CCS,2018,No,2.8,13,Quarterly
EVST00035,28.966814,74.248249,"3195 New Delhi St, Station Area",AC Level 2,0.1982,99.0,5.17,39.8,EVgo,26,Tesla Proprietary,2022,No,3.7,24,Monthly
EVST00036,35.639298,-122.008694,"3739 San Francisco St, Station Area",AC Level 2,0.1862,56.5,3.17,29.9,EVgo,13,"CCS, Tesla Proprietary",2018,Yes,4.5,20,Annual
EVST00037,29.283383,77.198325,"711 New Delhi St, Station Area",AC Level 2,0.161,68.4,3.17,44.2,ChargePoint,13,Tesla Proprietary,2020,No,3.8,27,Bi-Annual
EVST00038,-35.078698,151.464565,"4460 Sydney St, Station Area",AC Level 2,0.1203,80.0,7.75,55.6,Tesla,17,CCS,2014,No,4.3,18,Monthly
